work_id,title,authors,year,publication_type,venue,volume,issue,doi,pmid,arxiv_id,ieee_doc_id,source_dbs
W00001,Physics-informed neural networks for myocardial perfusion MRI quantification,"van Herten RLM, Chiribiri A, Breeuwer M, Veta M, Scannell CM.",2022,journal,Med Image Anal,,,10.1016/j.media.2022.102399,35299005.0,,,PubMed
W00003,Flow-Rate-Constrained Physics-Informed Neural Networks for Flow Field Error Correction in 4-D Flow Magnetic Resonance Imaging,"Kang J, Jung EC, Koo HJ, Yang DH, Ha H.",2025,journal,IEEE Trans Med Imaging,,,10.1109/tmi.2025.3587636,40638348.0,,,PubMed
W00004,Magnetic Resonance Electrical Properties Tomography Based on Modified Physics- Informed Neural Network and Multiconstraints,"Ruan G, Wang Z, Liu C, Xia L, Wang H, Qi L, Chen W.",2024,journal,IEEE Trans Med Imaging,,,10.1109/tmi.2024.3391651,38640054.0,,,PubMed
W00005,Physics-Informed Neural Networks for Brain Hemodynamic Predictions Using Medical Imaging,"Sarabian M, Babaee H, Laksari K.",2022,journal,IEEE Trans Med Imaging,,,10.1109/tmi.2022.3161653,35320090.0,,,PubMed
W00006,WarpPINN: Cine-MR image registration with physics-informed neural networks,"Arratia López P, Mella H, Uribe S, Hurtado DE, Sahli Costabal F.",2023,journal,Med Image Anal,,,10.1016/j.media.2023.102925,37598608.0,,,PubMed
W00007,Physics-informed deep learning approach to quantification of human brain metabolites from magnetic resonance spectroscopy data,"Shamaei A, Starcukova J, Starcuk Z Jr.",2023,journal,Comput Biol Med,,,10.1016/j.compbiomed.2023.106837,37044049.0,,,PubMed
W00008,Comparison between supervised and physics-informed unsupervised deep neural networks for estimating cerebral perfusion using multi-delay arterial spin labeling MRI,"Ishida S, Fujiwara Y, Takei N, Kimura H, Tsujikawa T.",2024,journal,NMR Biomed,,,10.1002/nbm.5177,38751142.0,,,PubMed
W00009,Physics-informed neural networks for denoising high b-value diffusion-weighted images,"Lin Q, Yang F, Yan Y, Zhang H, Xie Q, Zheng J, Yang W, Qian L, Liu S, Yao W, Qu X.",2025,journal,Comput Med Imaging Graph,,,10.1016/j.compmedimag.2025.102579,40494002.0,,,PubMed
W00010,"Improving microstructural integrity, interstitial fluid, and blood microcirculation images from multi-b-value diffusion MRI using physics-informed neural networks in cerebrovascular disease","Voorter PHM, Backes WH, Gurney-Champion OJ, Wong SM, Staals J, van Oostenbrugge RJ, van der Thiel MM, Jansen JFA, Drenthen GS.",2023,journal,Magn Reson Med,,,10.1002/mrm.29753,37317641.0,,,PubMed
W00011,Generalizable synthetic MRI with physics-informed convolutional networks,"Jacobs L, Mandija S, Liu H, van den Berg CAT, Sbrizzi A, Maspero M.",2024,journal,Med Phys,,,10.1002/mp.16884,38063208.0,,,PubMed
W00012,Investigating molecular transport in the human brain from MRI with physics-informed neural networks,"Zapf B, Haubner J, Kuchta M, Ringstad G, Eide PK, Mardal KA.",2022,journal,Sci Rep,,,10.1038/s41598-022-19157-w,36104360.0,,,PubMed
W00013,Learning atrial fiber orientations and conductivity tensors from intracardiac maps using physics-informed neural networks,"Grandits T, Pezzuto S, Costabal FS, Perdikaris P, Pock T, Plank G, Krause R.",2021,journal,Funct Imaging Model Heart,,,10.1007/978-3-030-78710-3_62,35098259.0,,,PubMed
W00014,Exploring the potential of Physics-Informed Neural Networks to extract vascularization data from DCE-MRI in the presence of diffusion,"Sainz-DeMena D, Pérez MA, García-Aznar JM.",2024,journal,Med Eng Phys,,,10.1016/j.medengphy.2023.104092,38365330.0,,,PubMed
