work_id,title,authors,year,publication_type,venue,volume,issue,doi,pmid,arxiv_id,ieee_doc_id,source_dbs
W00023,A physics-informed deep learning framework for dynamic susceptibility contrast perfusion MRI,"Rotkopf LT, Ziener CH, von Knebel-Doeberitz N, Wolf SD, Hohmann A, Wick W, Bendszus M, Schlemmer HP, Paech D, Kurz FT.",2024,journal,Med Phys,,,10.1002/mp.17415,39302179.0,,,PubMed
W00092,A physics-informed deep learning framework for dynamic susceptibility contrast perfusion MRI,,2024,journal,Medical Physics,51,12.0,10.1002/mp.16664,,,,Scopus
W00037,Enhanced parameter estimation in multiparametric arterial spin labeling using artificial neural networks,"Ishida S, Fujiwara Y, Matta Y, Takei N, Kanamoto M, Kimura H, Tsujikawa T.",2024,journal,Magn Reson Med,,,10.1002/mrm.30184,38852172.0,,,PubMed
W00093,Enhanced parameter estimation in multiparametric arterial spin labeling using artificial neural networks,,2024,journal,Magnetic Resonance in Medicine,92,5.0,10.1002/mrm.29959,,,,Scopus
W00014,Exploring the potential of Physics-Informed Neural Networks to extract vascularization data from DCE-MRI in the presence of diffusion,"Sainz-DeMena D, Pérez MA, García-Aznar JM.",2024,journal,Med Eng Phys,,,10.1016/j.medengphy.2023.104092,38365330.0,,,PubMed
W00104,Exploring the potential of Physics-Informed Neural Networks to extract vascularization data from DCE-MRI in the presence of diffusion,,2024,journal,Medical Engineering and Physics,123,,10.1016/j.medengphy.2023.104085,,,,Scopus
W00036,Improved unsupervised physics-informed deep learning for intravoxel incoherent motion modeling and evaluation in pancreatic cancer patients,"Kaandorp MPT, Barbieri S, Klaassen R, van Laarhoven HWM, Crezee H, While PT, Nederveen AJ, Gurney-Champion OJ.",2021,journal,Magn Reson Med,,,10.1002/mrm.28852,34105184.0,,,PubMed
W00113,Improved unsupervised physics-informed deep learning for intravoxel incoherent motion modeling and evaluation in pancreatic cancer patients,,2021,journal,Magnetic Resonance in Medicine,86,4.0,10.1002/mrm.28874,,,,Scopus
W00010,"Improving microstructural integrity, interstitial fluid, and blood microcirculation images from multi-b-value diffusion MRI using physics-informed neural networks in cerebrovascular disease","Voorter PHM, Backes WH, Gurney-Champion OJ, Wong SM, Staals J, van Oostenbrugge RJ, van der Thiel MM, Jansen JFA, Drenthen GS.",2023,journal,Magn Reson Med,,,10.1002/mrm.29753,37317641.0,,,PubMed
W00106,"Improving microstructural integrity, interstitial fluid, and blood microcirculation images from multi-b-value diffusion MRI using physics-informed neural networks in cerebrovascular disease",,2023,journal,Magnetic Resonance in Medicine,90,4.0,10.1002/mrm.29656,,,,Scopus
W00130,MRI-MECH: Mechanics-informed MRI to estimate esophageal health,,2022,preprint,arXiv,,,10.3389/fphys.2023.1195067,,2209.07492,,arXiv
W00109,MRI-MECH: mechanics-informed MRI to estimate esophageal health,,2023,journal,Frontiers in Physiology,14,,10.3389/fphys.2023.1114781,,,,Scopus
W00004,Magnetic Resonance Electrical Properties Tomography Based on Modified Physics- Informed Neural Network and Multiconstraints,"Ruan G, Wang Z, Liu C, Xia L, Wang H, Qi L, Chen W.",2024,journal,IEEE Trans Med Imaging,,,10.1109/tmi.2024.3391651,38640054.0,,,PubMed
W00102,Magnetic Resonance Electrical Properties Tomography Based on Modified Physics- Informed Neural Network and Multiconstraints,,2024,journal,IEEE Transactions on Medical Imaging,43,9.0,10.1109/TMI.2023.3329241,,,,Scopus
W00018,PIFON-EPT: MR-Based Electrical Property Tomography Using Physics-Informed Fourier Networks,"Yu X, Serrallés JEC, Giannakopoulos II, Liu Z, Daniel L, Lattanzi R, Zhang Z.",2024,journal,IEEE J Multiscale Multiphys Comput Tech,,,10.1109/jmmct.2023.3345798,39463749.0,,,PubMed
W00103,PIFON-EPT: MR-Based Electrical Property Tomography Using Physics-Informed Fourier Networks,,2024,journal,IEEE Journal on Multiscale and Multiphysics Computational Techniques,9,,10.1109/JMMCT.2023.3346387,,,,Scopus
W00002,Physics-Informed Neural Networks for Tissue Elasticity Reconstruction in Magnetic Resonance Elastography,"Ragoza M, Batmanghelich K.",2023,journal,Med Image Comput Comput Assist Interv,,,10.1007/978-3-031-43999-5_32,38827227.0,,,PubMed
W00108,Physics-Informed Neural Networks for Tissue Elasticity Reconstruction in Magnetic Resonance Elastography,,2023,journal,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,14229 LNCS,,10.1007/978-3-031-44917-8_4,,,,Scopus
W00001,Physics-informed neural networks for myocardial perfusion MRI quantification,"van Herten RLM, Chiribiri A, Breeuwer M, Veta M, Scannell CM.",2022,journal,Med Image Anal,,,10.1016/j.media.2022.102399,35299005.0,,,PubMed
W00111,Physics-informed neural networks for myocardial perfusion MRI quantification,,2022,journal,Medical Image Analysis,78,,10.1016/j.media.2021.102272,,,,Scopus
W00016,SPINNED: Simulation-based physics-informed neural network for deconvolution of dynamic susceptibility contrast MRI perfusion data,"Asaduddin M, Kim EY, Park SH.",2024,journal,Magn Reson Med,,,10.1002/mrm.30095,38623911.0,,,PubMed
W00094,SPINNED: Simulation-based physics-informed neural network for deconvolution of dynamic susceptibility contrast MRI perfusion data,,2024,journal,Magnetic Resonance in Medicine,92,3.0,10.1002/mrm.29962,,,,Scopus
W00017,SWENet: A Physics-Informed Deep Neural Network (PINN) for Shear Wave Elastography,"Yin Z, Li GY, Zhang Z, Zheng Y, Cao Y.",2024,journal,IEEE Trans Med Imaging,,,10.1109/tmi.2023.3338178,38032772.0,,,PubMed
W00097,SWENet: A Physics-Informed Deep Neural Network (PINN) for Shear Wave Elastography,,2024,journal,IEEE Transactions on Medical Imaging,43,4.0,10.1109/TMI.2023.3323348,,,,Scopus
W00006,WarpPINN: Cine-MR image registration with physics-informed neural networks,"Arratia López P, Mella H, Uribe S, Hurtado DE, Sahli Costabal F.",2023,journal,Med Image Anal,,,10.1016/j.media.2023.102925,37598608.0,,,PubMed
W00105,WarpPINN: Cine-MR image registration with physics-informed neural networks,,2023,journal,Medical Image Analysis,89,,10.1016/j.media.2022.102664,,,,Scopus
