work_id,context_clarity,physics_model_clarity,data_transparency,baseline_comparison,quantitative_evaluation,validation_beyond_training,robustness_or_uncertainty,reproducibility_signal,notes
W00001,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,"Validated in silico and in vivo, but cohort size not specified. Comparisons to NLLS and MSE metrics provided."
W00003,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,"Validates on CFD and patients (n unspecified). Claims 'considerable improvements' without specific metrics."
W00004,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,"Tested on realistic head model and phantoms. Mentions multi-constraints for ill-conditioned problems."
W00005,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,"Validates against 4D Flow MRI. Robustness to unknown boundary conditions mentioned."
W00006,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,"Tested on 15 volunteers. Explicitly links to GitHub repository."
W00007,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,"Uses Big GABA dataset. Performance is 'comparable'. Monte Carlo study assesses robustness."
W00008,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,"Comparison with supervised DNN and conventional methods. Noise immunity evaluated."
W00009,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.0,"Physics-informed loss mentioned but equation not named. Tested on 125 subjects."
W00010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"16 patients, test-retest repeatability (CV, ICC). Simulation for voxel-wise accuracy."
W00011,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,"Signal model used. Validated on 55 subjects + 5 volunteers for generalizability."
W00012,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,"Uses advection-diffusion equation. Tuned for noisy measurements; residual analysis."
W00014,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.0,"Simulation/1D cases. Robustness to noisy/incomplete data emphasized."
W00015,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,"Reaction-diffusion PDE. Validated on patient datasets (n unspecified)."
W00016,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,"Deconvolution physics. Compared to cSVD/oSVD. Robustness against noise."
W00018,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,"Helmholtz equation. Simulation only. Error metrics <5% reported. Handles incomplete data."
W00019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"15 volunteers + 4 patients. Uncertainty quantification (UQ) explicitly addressed."
